"Unique identification number of the institution","Level of student","Level of student (original line number on survey form)","Attendance status of student","Level of student","Nonresident alien men","Nonresident alien women","OLD - Black non-Hispanic men","OLD - Black non-Hispanic women","OLD - American Indian or Alaska Native men","OLD - American Indian or Alaska Native women","OLD - Asian or Pacific Islander men","OLD - Asian or Pacific Islander women","OLD - Hispanic men","OLD - Hispanic women","OLD - White non-Hispanic men","OLD - White non-Hispanic women","Race/ethnicity unknown men","Race/ethnicity unknown women","Grand total men","Grand total women","Nonresident alien total","OLD - Black non-Hispanic total","OLD - American Indian or Alaska Native total","OLD - Asian or Pacific Islander total","OLD - Hispanic total","OLD - White non-Hispanic total","Race/ethnicity unknown total","Grand total","Hispanic men","Hispanic women","American Indian or Alaska Native men","American Indian or Alaska Native women","Asian men","Asian women","Black or African American men","Black or African American women","Native Hawaiian or Other Pacific Islander men","Native Hawaiian or Other Pacific Islander women","White men","White women","Two or more races men","Two or more races women","Hispanic total","American Indian or Alaska Native total","Asian total","Black or African American total","Native Hawaiian or Other Pacific Islander total","White total","Two or more races total","DERIVED - American Indian or Alaska Native total","DERIVED - American Indian or Alaska Native men","DERIVED - American Indian or Alaska Native women","DERIVED - Asian/Native Hawaiian/Other Pacific Islander total","DERIVED - Asian/Native Hawaiian/Other Pacific Islander men","DERIVED - Asian/Native Hawaiian/Other Pacific Islander women","DERIVED - Black or African American/Black non-Hispanic total","DERIVED - Black or African American/Black non-Hispanic men","DERIVED - Black or African American/Black non-Hispanic women","DERIVED - Hispanic or Latino/Hispanic total","DERIVED - Hispanic or Latino/Hispanic men","DERIVED - Hispanic or Latino/Hispanic women","DERIVED - White/White non-Hispanic total","DERIVED - White/White non-Hispanic men","DERIVED - White/White non-Hispanic women","FY","Fall","Institution_Name","EFALevel_desc","Line_desc","Section_desc","LStudy_desc"
"164988","25","99","1","1"," 554"," 539",,,,,,,,,,," 451"," 585"," 4700"," 7077","1093",,,,,,"1036","11777","335"," 610","11","18"," 705","1002","131","236"," 7","17","2432","3914"," 74","156"," 945"," 29","1707"," 367","24"," 6346"," 230",,,,,,,,,,,,,,,,"2011","2010","Boston University","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Full-time","Undergraduate"
"164988","31","7","1","1","  70","  88",,,,,,,,,,,"  68"," 109","  210","  333"," 158",,,,,," 177","  543","  9","   8"," 0"," 1","   5","  14","  7"," 10"," 1"," 0","  49"," 102","  1","  1","  17","  1","  19","  17"," 1","  151","   2",,,,,,,,,,,,,,,,"2011","2010","Boston University","Full-time students, Undergraduate, Non-degree/certificate-seeking","Full-time nondegree-seeking undergraduates","Full-time","Undergraduate"
"164988","32","11","1","3","1169","1077",,,,,,,,,,," 435"," 481"," 4144"," 5001","2246",,,,,," 916"," 9145","185"," 238","14","15"," 355"," 474","106","189"," 9","13","1821","2442"," 50"," 72"," 423"," 29"," 829"," 295","22"," 4263"," 122",,,,,,,,,,,,,,,,"2011","2010","Boston University","Full-time students, Graduate","Full-time graduates","Full-time","Graduate"
"164988","39","2","1","1","  27","  20",,,,,,,,,,,"  29","  29","  102","  139","  47",,,,,,"  58","  241","  0","   4"," 1"," 0","   4","   9","  2","  2"," 0"," 0","  37","  74","  2","  1","   4","  1","  13","   4"," 0","  111","   3",,,,,,,,,,,,,,,,"2011","2010","Boston University","Full-time students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Full-time undergraduate, other degree/certifcate-seeking, transfer-ins","Full-time","Undergraduate"
"164988","40","3","1","1"," 527"," 519",,,,,,,,,,," 422"," 556"," 4598"," 6938","1046",,,,,," 978","11536","335"," 606","10","18"," 701"," 993","129","234"," 7","17","2395","3840"," 72","155"," 941"," 28","1694"," 363","24"," 6235"," 227",,,,,,,,,,,,,,,,"2011","2010","Boston University","Full-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Full-time  undergraduate, other degree/certifcate-seeking, continuing","Full-time","Undergraduate"
"164988","41","28","2","4"," 204"," 147",,,,,,,,,,," 696"," 804"," 2894"," 3411"," 351",,,,,,"1500"," 6305","107"," 148"," 6"," 6"," 219"," 221","139","171"," 3"," 6","1493","1863"," 27"," 45"," 255"," 12"," 440"," 310"," 9"," 3356","  72",,,,,,,,,,,,,,,,"2011","2010","Boston University","Part-time students total","Total part-time","Part-time","All students"
"164988","42","22","2","1","  20","  22",,,,,,,,,,," 192"," 180","  702","  735","  42",,,,,," 372"," 1437"," 38","  37"," 2"," 0","  66","  45"," 36"," 49"," 1"," 2"," 338"," 394","  9","  6","  75","  2"," 111","  85"," 3","  732","  15",,,,,,,,,,,,,,,,"2011","2010","Boston University","Part-time students, Undergraduate total","Total part-time undergraduates","Part-time","Undergraduate"
"164988","43","20","2","1","   3","   7",,,,,,,,,,,"  38","  28","  218","  220","  10",,,,,,"  66","  438"," 18","  15"," 2"," 0","  20","  19"," 20"," 19"," 0"," 1"," 113"," 129","  4","  2","  33","  2","  39","  39"," 1","  242","   6",,,,,,,,,,,,,,,,"2011","2010","Boston University","Part-time students, Undergraduate, Degree/certificate-seeking total","Part-time degree-seeking undergraduates, total","Part-time","Undergraduate"
"164988","45","99","2","1","   3","   7",,,,,,,,,,,"  38","  28","  218","  220","  10",,,,,,"  66","  438"," 18","  15"," 2"," 0","  20","  19"," 20"," 19"," 0"," 1"," 113"," 129","  4","  2","  33","  2","  39","  39"," 1","  242","   6",,,,,,,,,,,,,,,,"2011","2010","Boston University","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Part-time","Undergraduate"
"164988","51","21","2","1","  17","  15",,,,,,,,,,," 154"," 152","  484","  515","  32",,,,,," 306","  999"," 20","  22"," 0"," 0","  46","  26"," 16"," 30"," 1"," 1"," 225"," 265","  5","  4","  42","  0","  72","  46"," 2","  490","   9",,,,,,,,,,,,,,,,"2011","2010","Boston University","Part-time students, Undergraduate, Non-degree/certificate-seeking","Part-time nondegree-seeking undergraduates","Part-time","Undergraduate"
"164988","52","25","2","3"," 184"," 125",,,,,,,,,,," 504"," 624"," 2192"," 2676"," 309",,,,,,"1128"," 4868"," 69"," 111"," 4"," 6"," 153"," 176","103","122"," 2"," 4","1155","1469"," 18"," 39"," 180"," 10"," 329"," 225"," 6"," 2624","  57",,,,,,,,,,,,,,,,"2011","2010","Boston University","Part-time students, Graduate","Part-time graduates","Part-time","Graduate"
"164988","60","17","2","1","   3","   7",,,,,,,,,,,"  38","  28","  218","  220","  10",,,,,,"  66","  438"," 18","  15"," 2"," 0","  20","  19"," 20"," 19"," 0"," 1"," 113"," 129","  4","  2","  33","  2","  39","  39"," 1","  242","   6",,,,,,,,,,,,,,,,"2011","2010","Boston University","Part-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Part-time undergraduate, other degree/certifcate-seeking, continuing","Part-time","Undergraduate"
"166683","1","29","3","4","1929"," 837",,,,,,,,,,," 488"," 329"," 6661"," 3905","2766",,,,,," 817","10566","622"," 226","41","20"," 853"," 887","306","157"," 1"," 0","2326","1371"," 95"," 78"," 848"," 61","1740"," 463"," 1"," 3697"," 173",,,,,,,,,,,,,,,,"2011","2010","MIT","All students total","Total enrollment","All students","All students"
"166683","2","99","3","1"," 230"," 180",,,,,,,,,,,"  95"," 133"," 2351"," 1948"," 410",,,,,," 228"," 4299","431"," 147","25","12"," 425"," 605","217","115"," 1"," 0"," 870"," 713"," 57"," 43"," 578"," 37","1030"," 332"," 1"," 1583"," 100",,,,,,,,,,,,,,,,"2011","2010","MIT","All students, Undergraduate total","Generated record not on original survey","All students","Undergraduate"
"166683","3","99","3","1"," 222"," 176",,,,,,,,,,,"  94"," 133"," 2342"," 1943"," 398",,,,,," 227"," 4285","431"," 147","25","12"," 425"," 604","217","115"," 1"," 0"," 870"," 713"," 57"," 43"," 578"," 37","1029"," 332"," 1"," 1583"," 100",,,,,,,,,,,,,,,,"2011","2010","MIT","All students, Undergraduate, Degree/certificate-seeking total","Generated record not on original survey","All students","Undergraduate"
"166683","4","99","3","1","  51","  43",,,,,,,,,,,"   9","  18","  587","  480","  94",,,,,,"  27"," 1067","117","  39"," 2"," 2"," 100"," 144"," 49"," 18"," 0"," 0"," 227"," 191"," 32"," 25"," 156","  4"," 244","  67"," 0","  418","  57",,,,,,,,,,,,,,,,"2011","2010","MIT","All students, Undergraduate, Degree/certificate-seeking, First-time","Generated record not on original survey","All students","Undergraduate"
"166683","5","99","3","1"," 171"," 133",,,,,,,,,,,"  85"," 115"," 1755"," 1463"," 304",,,,,," 200"," 3218","314"," 108","23","10"," 325"," 460","168"," 97"," 1"," 0"," 643"," 522"," 25"," 18"," 422"," 33"," 785"," 265"," 1"," 1165","  43",,,,,,,,,,,,,,,,"2011","2010","MIT","All students, Undergraduate, Other degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"166683","11","99","3","1","   8","   4",,,,,,,,,,,"   1","   0","    9","    5","  12",,,,,,"   1","   14","  0","   0"," 0"," 0","   0","   1","  0","  0"," 0"," 0","   0","   0","  0","  0","   0","  0","   1","   0"," 0","    0","   0",,,,,,,,,,,,,,,,"2011","2010","MIT","All students, Undergraduate, Non-degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"166683","12","99","3","3","1699"," 657",,,,,,,,,,," 393"," 196"," 4310"," 1957","2356",,,,,," 589"," 6267","191","  79","16"," 8"," 428"," 282"," 89"," 42"," 0"," 0","1456"," 658"," 38"," 35"," 270"," 24"," 710"," 131"," 0"," 2114","  73",,,,,,,,,,,,,,,,"2011","2010","MIT","All students, Graduate","Generated record not on original survey","All students","Graduate"
"166683","19","99","3","1","   6","   7",,,,,,,,,,,"   0","   0","    9","    8","  13",,,,,,"   0","   17","  1","   0"," 0"," 0","   1","   0","  0","  0"," 0"," 0","   1","   1","  0","  0","   1","  0","   1","   0"," 0","    2","   0",,,,,,,,,,,,,,,,"2011","2010","MIT","All students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Generated record not on original survey","All students","Undergraduate"
"166683","20","99","3","1"," 165"," 126",,,,,,,,,,,"  85"," 115"," 1746"," 1455"," 291",,,,,," 200"," 3201","313"," 108","23","10"," 324"," 460","168"," 97"," 1"," 0"," 642"," 521"," 25"," 18"," 421"," 33"," 784"," 265"," 1"," 1163","  43",,,,,,,,,,,,,,,,"2011","2010","MIT","All students, Undergraduate, Other degree/certifcate-seeking, Continuing","Generated record not on original survey","All students","Undergraduate"
"166683","21","14","1","4","1917"," 828",,,,,,,,,,," 462"," 305"," 6537"," 3823","2745",,,,,," 767","10360","613"," 220","41","20"," 833"," 873","302","153"," 1"," 0","2275","1347"," 93"," 77"," 833"," 61","1706"," 455"," 1"," 3622"," 170",,,,,,,,,,,,,,,,"2011","2010","MIT","Full-time students total","Total full-time students","Full-time","All students"
"166683","22","8","1","1"," 230"," 179",,,,,,,,,,,"  90"," 131"," 2323"," 1929"," 409",,,,,," 221"," 4252","425"," 146","25","12"," 420"," 598","215","114"," 1"," 0"," 862"," 706"," 55"," 43"," 571"," 37","1018"," 329"," 1"," 1568","  98",,,,,,,,,,,,,,,,"2011","2010","MIT","Full-time students, Undergraduate total","Total  full-time undergraduates","Full-time","Undergraduate"
"166683","23","6","1","1"," 222"," 176",,,,,,,,,,,"  90"," 131"," 2315"," 1926"," 398",,,,,," 221"," 4241","425"," 146","25","12"," 420"," 598","215","114"," 1"," 0"," 862"," 706"," 55"," 43"," 571"," 37","1018"," 329"," 1"," 1568","  98",,,,,,,,,,,,,,,,"2011","2010","MIT","Full-time students, Undergraduate, Degree/certificate-seeking total","Full-time degree-seeking undergraduates, total","Full-time","Undergraduate"
"166683","24","1","1","1","  51","  43",,,,,,,,,,,"   9","  18","  587","  480","  94",,,,,,"  27"," 1067","117","  39"," 2"," 2"," 100"," 144"," 49"," 18"," 0"," 0"," 227"," 191"," 32"," 25"," 156","  4"," 244","  67"," 0","  418","  57",,,,,,,,,,,,,,,,"2011","2010","MIT","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Full-time, first-time, first-year, degree-seeking undergraduates","Full-time","Undergraduate"
"166683","25","99","1","1"," 171"," 133",,,,,,,,,,,"  81"," 113"," 1728"," 1446"," 304",,,,,," 194"," 3174","308"," 107","23","10"," 320"," 454","166"," 96"," 1"," 0"," 635"," 515"," 23"," 18"," 415"," 33"," 774"," 262"," 1"," 1150","  41",,,,,,,,,,,,,,,,"2011","2010","MIT","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Full-time","Undergraduate"
"166683","31","7","1","1","   8","   3",,,,,,,,,,,"   0","   0","    8","    3","  11",,,,,,"   0","   11","  0","   0"," 0"," 0","   0","   0","  0","  0"," 0"," 0","   0","   0","  0","  0","   0","  0","   0","   0"," 0","    0","   0",,,,,,,,,,,,,,,,"2011","2010","MIT","Full-time students, Undergraduate, Non-degree/certificate-seeking","Full-time nondegree-seeking undergraduates","Full-time","Undergraduate"
"166683","32","11","1","3","1687"," 649",,,,,,,,,,," 372"," 174"," 4214"," 1894","2336",,,,,," 546"," 6108","188","  74","16"," 8"," 413"," 275"," 87"," 39"," 0"," 0","1413"," 641"," 38"," 34"," 262"," 24"," 688"," 126"," 0"," 2054","  72",,,,,,,,,,,,,,,,"2011","2010","MIT","Full-time students, Graduate","Full-time graduates","Full-time","Graduate"
"166683","39","2","1","1","   6","   7",,,,,,,,,,,"   0","   0","    9","    8","  13",,,,,,"   0","   17","  1","   0"," 0"," 0","   1","   0","  0","  0"," 0"," 0","   1","   1","  0","  0","   1","  0","   1","   0"," 0","    2","   0",,,,,,,,,,,,,,,,"2011","2010","MIT","Full-time students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Full-time undergraduate, other degree/certifcate-seeking, transfer-ins","Full-time","Undergraduate"
"166683","40","3","1","1"," 165"," 126",,,,,,,,,,,"  81"," 113"," 1719"," 1438"," 291",,,,,," 194"," 3157","307"," 107","23","10"," 319"," 454","166"," 96"," 1"," 0"," 634"," 514"," 23"," 18"," 414"," 33"," 773"," 262"," 1"," 1148","  41",,,,,,,,,,,,,,,,"2011","2010","MIT","Full-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Full-time  undergraduate, other degree/certifcate-seeking, continuing","Full-time","Undergraduate"
"166683","41","28","2","4","  12","   9",,,,,,,,,,,"  26","  24","  124","   82","  21",,,,,,"  50","  206","  9","   6"," 0"," 0","  20","  14","  4","  4"," 0"," 0","  51","  24","  2","  1","  15","  0","  34","   8"," 0","   75","   3",,,,,,,,,,,,,,,,"2011","2010","MIT","Part-time students total","Total part-time","Part-time","All students"
"166683","42","22","2","1","   0","   1",,,,,,,,,,,"   5","   2","   28","   19","   1",,,,,,"   7","   47","  6","   1"," 0"," 0","   5","   7","  2","  1"," 0"," 0","   8","   7","  2","  0","   7","  0","  12","   3"," 0","   15","   2",,,,,,,,,,,,,,,,"2011","2010","MIT","Part-time students, Undergraduate total","Total part-time undergraduates","Part-time","Undergraduate"
"166683","43","20","2","1","   0","   0",,,,,,,,,,,"   4","   2","   27","   17","   0",,,,,,"   6","   44","  6","   1"," 0"," 0","   5","   6","  2","  1"," 0"," 0","   8","   7","  2","  0","   7","  0","  11","   3"," 0","   15","   2",,,,,,,,,,,,,,,,"2011","2010","MIT","Part-time students, Undergraduate, Degree/certificate-seeking total","Part-time degree-seeking undergraduates, total","Part-time","Undergraduate"
"166683","45","99","2","1","   0","   0",,,,,,,,,,,"   4","   2","   27","   17","   0",,,,,,"   6","   44","  6","   1"," 0"," 0","   5","   6","  2","  1"," 0"," 0","   8","   7","  2","  0","   7","  0","  11","   3"," 0","   15","   2",,,,,,,,,,,,,,,,"2011","2010","MIT","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Part-time","Undergraduate"
"166683","51","21","2","1","   0","   1",,,,,,,,,,,"   1","   0","    1","    2","   1",,,,,,"   1","    3","  0","   0"," 0"," 0","   0","   1","  0","  0"," 0"," 0","   0","   0","  0","  0","   0","  0","   1","   0"," 0","    0","   0",,,,,,,,,,,,,,,,"2011","2010","MIT","Part-time students, Undergraduate, Non-degree/certificate-seeking","Part-time nondegree-seeking undergraduates","Part-time","Undergraduate"
"166683","52","25","2","3","  12","   8",,,,,,,,,,,"  21","  22","   96","   63","  20",,,,,,"  43","  159","  3","   5"," 0"," 0","  15","   7","  2","  3"," 0"," 0","  43","  17","  0","  1","   8","  0","  22","   5"," 0","   60","   1",,,,,,,,,,,,,,,,"2011","2010","MIT","Part-time students, Graduate","Part-time graduates","Part-time","Graduate"
"166683","60","17","2","1","   0","   0",,,,,,,,,,,"   4","   2","   27","   17","   0",,,,,,"   6","   44","  6","   1"," 0"," 0","   5","   6","  2","  1"," 0"," 0","   8","   7","  2","  0","   7","  0","  11","   3"," 0","   15","   2",,,,,,,,,,,,,,,,"2011","2010","MIT","Part-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Part-time undergraduate, other degree/certifcate-seeking, continuing","Part-time","Undergraduate"
"167358","1","29","3","4","2847","2185",,,,,,,,,,,"3114","3271","14295","15224","5032",,,,,,"6385","29519","590"," 749","20","46"," 883","1004","554","904"," 1"," 0","6156","6911","130","154","1339"," 66","1887","1458"," 1","13067"," 284",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","All students total","Total enrollment","All students","All students"
"167358","2","99","3","1","1373","1149",,,,,,,,,,,"1673","1718"," 9483"," 9952","2522",,,,,,"3391","19435","468"," 581","15","30"," 728"," 758","384","606"," 1"," 0","4720","4968","121","142","1049"," 45","1486"," 990"," 1"," 9688"," 263",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","All students, Undergraduate total","Generated record not on original survey","All students","Undergraduate"
"167358","3","99","3","1"," 979"," 865",,,,,,,,,,,"1640","1679"," 9023"," 9556","1844",,,,,,"3319","18579","462"," 573","15","30"," 724"," 749","384","606"," 1"," 0","4697","4916","121","138","1035"," 45","1473"," 990"," 1"," 9613"," 259",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","All students, Undergraduate, Degree/certificate-seeking total","Generated record not on original survey","All students","Undergraduate"
"167358","4","99","3","1"," 159"," 142",,,,,,,,,,," 151"," 150"," 1408"," 1428"," 301",,,,,," 301"," 2836"," 72","  88"," 1"," 0"," 134"," 129"," 40"," 61"," 0"," 0"," 803"," 808"," 48"," 50"," 160","  1"," 263"," 101"," 0"," 1611","  98",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","All students, Undergraduate, Degree/certificate-seeking, First-time","Generated record not on original survey","All students","Undergraduate"
"167358","5","99","3","1"," 820"," 723",,,,,,,,,,,"1489","1529"," 7615"," 8128","1543",,,,,,"3018","15743","390"," 485","14","30"," 590"," 620","344","545"," 1"," 0","3894","4108"," 73"," 88"," 875"," 44","1210"," 889"," 1"," 8002"," 161",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","All students, Undergraduate, Other degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"167358","11","99","3","1"," 394"," 284",,,,,,,,,,,"  33","  39","  460","  396"," 678",,,,,,"  72","  856","  6","   8"," 0"," 0","   4","   9","  0","  0"," 0"," 0","  23","  52","  0","  4","  14","  0","  13","   0"," 0","   75","   4",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","All students, Undergraduate, Non-degree/certificate-seeking","Generated record not on original survey","All students","Undergraduate"
"167358","12","99","3","3","1474","1036",,,,,,,,,,,"1441","1553"," 4812"," 5272","2510",,,,,,"2994","10084","122"," 168"," 5","16"," 155"," 246","170","298"," 0"," 0","1436","1943","  9"," 12"," 290"," 21"," 401"," 468"," 0"," 3379","  21",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","All students, Graduate","Generated record not on original survey","All students","Graduate"
"167358","19","99","3","1","  89","  66",,,,,,,,,,,"  29","  36","  302","  327"," 155",,,,,,"  65","  629"," 19","  35"," 0"," 1","  14","  15"," 13"," 10"," 0"," 0"," 129"," 156","  9","  8","  54","  1","  29","  23"," 0","  285","  17",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","All students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Generated record not on original survey","All students","Undergraduate"
"167358","20","99","3","1"," 731"," 657",,,,,,,,,,,"1460","1493"," 7313"," 7801","1388",,,,,,"2953","15114","371"," 450","14","29"," 576"," 605","331","535"," 1"," 0","3765","3952"," 64"," 80"," 821"," 43","1181"," 866"," 1"," 7717"," 144",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","All students, Undergraduate, Other degree/certifcate-seeking, Continuing","Generated record not on original survey","All students","Undergraduate"
"167358","21","14","1","4","2257","1708",,,,,,,,,,,"1949","2208","10512","10870","3965",,,,,,"4157","21382","438"," 547","14","30"," 727"," 800","298","444"," 1"," 0","4703","4984","125","149"," 985"," 44","1527"," 742"," 1"," 9687"," 274",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Full-time students total","Total full-time students","Full-time","All students"
"167358","22","8","1","1","1204","1022",,,,,,,,,,,"1474","1500"," 8281"," 8443","2226",,,,,,"2974","16724","393"," 469","11","19"," 670"," 687","253","348"," 1"," 0","4155","4259","120","139"," 862"," 30","1357"," 601"," 1"," 8414"," 259",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Full-time students, Undergraduate total","Total  full-time undergraduates","Full-time","Undergraduate"
"167358","23","6","1","1"," 810"," 738",,,,,,,,,,,"1459","1478"," 7840"," 8065","1548",,,,,,"2937","15905","388"," 462","11","19"," 666"," 678","253","348"," 1"," 0","4132","4207","120","135"," 850"," 30","1344"," 601"," 1"," 8339"," 255",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Full-time students, Undergraduate, Degree/certificate-seeking total","Full-time degree-seeking undergraduates, total","Full-time","Undergraduate"
"167358","24","1","1","1"," 159"," 142",,,,,,,,,,," 151"," 150"," 1408"," 1428"," 301",,,,,," 301"," 2836"," 72","  88"," 1"," 0"," 134"," 129"," 40"," 61"," 0"," 0"," 803"," 808"," 48"," 50"," 160","  1"," 263"," 101"," 0"," 1611","  98",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Full-time, first-time, first-year, degree-seeking undergraduates","Full-time","Undergraduate"
"167358","25","99","1","1"," 651"," 596",,,,,,,,,,,"1308","1328"," 6432"," 6637","1247",,,,,,"2636","13069","316"," 374","10","19"," 532"," 549","213","287"," 1"," 0","3329","3399"," 72"," 85"," 690"," 29","1081"," 500"," 1"," 6728"," 157",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Full-time","Undergraduate"
"167358","31","7","1","1"," 394"," 284",,,,,,,,,,,"  15","  22","  441","  378"," 678",,,,,,"  37","  819","  5","   7"," 0"," 0","   4","   9","  0","  0"," 0"," 0","  23","  52","  0","  4","  12","  0","  13","   0"," 0","   75","   4",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Full-time students, Undergraduate, Non-degree/certificate-seeking","Full-time nondegree-seeking undergraduates","Full-time","Undergraduate"
"167358","32","11","1","3","1053"," 686",,,,,,,,,,," 475"," 708"," 2231"," 2427","1739",,,,,,"1183"," 4658"," 45","  78"," 3","11","  57"," 113"," 45"," 96"," 0"," 0"," 548"," 725","  5"," 10"," 123"," 14"," 170"," 141"," 0"," 1273","  15",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Full-time students, Graduate","Full-time graduates","Full-time","Graduate"
"167358","39","2","1","1","  89","  66",,,,,,,,,,,"  29","  36","  302","  327"," 155",,,,,,"  65","  629"," 19","  35"," 0"," 1","  14","  15"," 13"," 10"," 0"," 0"," 129"," 156","  9","  8","  54","  1","  29","  23"," 0","  285","  17",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Full-time students, Undergraduate, Other degree/certifcate-seeking, Transfer-ins","Full-time undergraduate, other degree/certifcate-seeking, transfer-ins","Full-time","Undergraduate"
"167358","40","3","1","1"," 562"," 530",,,,,,,,,,,"1279","1292"," 6130"," 6310","1092",,,,,,"2571","12440","297"," 339","10","18"," 518"," 534","200","277"," 1"," 0","3200","3243"," 63"," 77"," 636"," 28","1052"," 477"," 1"," 6443"," 140",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Full-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Full-time  undergraduate, other degree/certifcate-seeking, continuing","Full-time","Undergraduate"
"167358","41","28","2","4"," 590"," 477",,,,,,,,,,,"1165","1063"," 3783"," 4354","1067",,,,,,"2228"," 8137","152"," 202"," 6","16"," 156"," 204","256","460"," 0"," 0","1453","1927","  5","  5"," 354"," 22"," 360"," 716"," 0"," 3380","  10",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Part-time students total","Total part-time","Part-time","All students"
"167358","42","22","2","1"," 169"," 127",,,,,,,,,,," 199"," 218"," 1202"," 1509"," 296",,,,,," 417"," 2711"," 75"," 112"," 4","11","  58","  71","131","258"," 0"," 0"," 565"," 709","  1","  3"," 187"," 15"," 129"," 389"," 0"," 1274","   4",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Part-time students, Undergraduate total","Total part-time undergraduates","Part-time","Undergraduate"
"167358","43","20","2","1"," 169"," 127",,,,,,,,,,," 181"," 201"," 1183"," 1491"," 296",,,,,," 382"," 2674"," 74"," 111"," 4","11","  58","  71","131","258"," 0"," 0"," 565"," 709","  1","  3"," 185"," 15"," 129"," 389"," 0"," 1274","   4",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Part-time students, Undergraduate, Degree/certificate-seeking total","Part-time degree-seeking undergraduates, total","Part-time","Undergraduate"
"167358","45","99","2","1"," 169"," 127",,,,,,,,,,," 181"," 201"," 1183"," 1491"," 296",,,,,," 382"," 2674"," 74"," 111"," 4","11","  58","  71","131","258"," 0"," 0"," 565"," 709","  1","  3"," 185"," 15"," 129"," 389"," 0"," 1274","   4",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Generated record not on original survey","Part-time","Undergraduate"
"167358","51","21","2","1","   0","   0",,,,,,,,,,,"  18","  17","   19","   18","   0",,,,,,"  35","   37","  1","   1"," 0"," 0","   0","   0","  0","  0"," 0"," 0","   0","   0","  0","  0","   2","  0","   0","   0"," 0","    0","   0",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Part-time students, Undergraduate, Non-degree/certificate-seeking","Part-time nondegree-seeking undergraduates","Part-time","Undergraduate"
"167358","52","25","2","3"," 421"," 350",,,,,,,,,,," 966"," 845"," 2581"," 2845"," 771",,,,,,"1811"," 5426"," 77","  90"," 2"," 5","  98"," 133","125","202"," 0"," 0"," 888","1218","  4","  2"," 167","  7"," 231"," 327"," 0"," 2106","   6",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Part-time students, Graduate","Part-time graduates","Part-time","Graduate"
"167358","60","17","2","1"," 169"," 127",,,,,,,,,,," 181"," 201"," 1183"," 1491"," 296",,,,,," 382"," 2674"," 74"," 111"," 4","11","  58","  71","131","258"," 0"," 0"," 565"," 709","  1","  3"," 185"," 15"," 129"," 389"," 0"," 1274","   4",,,,,,,,,,,,,,,,"2011","2010","Northeastern University","Part-time students, Undergraduate, Other degree/certifcate-seeking, Continuing","Part-time undergraduate, other degree/certifcate-seeking, continuing","Part-time","Undergraduate"
"168148","1","29","3","4"," 526"," 530",,,,,,,,,,," 587"," 649"," 4822"," 5658","1056",,,,,,"1236","10480","204"," 289"," 2","12"," 566"," 632","163","249"," 5"," 6","2691","3151"," 78","140"," 493"," 14","1198"," 412","11"," 5842"," 218",,,,,,,,,,,,,,,,"2011","2010","Tufts University","All students total","Total enrollment","All students","All students"
